"id_ocorrencia","local_ocorrencia","latitude_ocorrencia","longitude_ocorrencia","data_ocorrencia","hora_ocorrencia","presen_agen_segur_ocorrencia","qtd_morto_civil_ocorrencia","qtd_morto_agen_segur_ocorrencia","qtd_ferido_civil_ocorrencia","qtd_ferido_agen_segur_ocorrencia","estado_id","cidade_id","nome_cidade","cod_ibge_cidade","gentilico_cidade","populacao_cidade","area_cidade","densidade_demo_cidade","nome_estado","uf_estado","cod_ibge_estado","homem_qtd_mortos_oc","homem_qtd_feridos_oc","mulher_qtd_mortos_oc","mulher_qtd_feridos_oc","chacina_oc","chacina_qtd_mortos_oc","chacina_unidades_policiais_oc","ag_seguranca_vitima_oc","ag_seguranca_mortos_status_oc","ag_seguranca_feridos_status_oc","bala_perdida_oc","bala_perdida_qtd_mortos_oc","bala_perdida_qtd_feridos_oc","interior_residencia_oc","interior_residencia_qtd_mortos_oc","interior_residencia_qtd_feridos_oc","imediacao_ensino_oc","imediacao_ensino_qtd_mortos_oc","imediacao_ensino_qtd_feridos_oc","vitima_crianca_oc","vitima_crianca_qtd_mortos_oc","info_adicional_crianca_morta_oc","vitima_crianca_qtd_feridos_oc","info_adicional_crianca_ferida_oc","vitima_adolescente_oc","vitima_adolescente_qtd_mortos_oc","info_adicional_adolescente_morto_oc","vitima_adolescente_qtd_feridos_oc","info_adicional_adolescente_ferido_oc","vitima_idoso_oc","vitima_idoso_qtd_mortos_oc","info_adicional_idoso_morto_oc","vitima_idoso_qtd_feridos_oc","info_adicional_idoso_ferido_oc","informacao_via_oc","descricao_via_interrompida_oc","data_interrupcao_via_oc","data_liberacao_via_oc","outros_recortes","motivo_principal","motivo_complementar"
"52475","Rua Ana Quintão - Piedade, Rio de Janeiro - RJ, Brasil","-22.8795278","-43.308129","2022-10-01","00:31:00","1","0","0","1","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","1","0","0","0","0","3 BPM","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","Perseguição","Tentativa/Roubo","Ação policial"
"52480","R. Maria Lopes - Madureira, Rio de Janeiro - RJ, Brasil","-22.8797229","-43.3377757","2022-10-01","09:00:00","1","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","9 BPM","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Tentativa/Roubo","Ação policial"
"52487","Cordovil, Rio de Janeiro - RJ, Brasil","-22.823807085730525","-43.296053717196656","2022-10-01","15:17:00","0","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Não identificado",""
"52489","Bar Veloso - Rua Aristides Espinola - Leblon, Rio de Janeiro - RJ, Brasil","-22.9864684","-43.2267867","2022-10-01","14:00:00","1","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Ação policial",""
"52491","Rua Coronel Phidias Távora - Pavuna, Rio de Janeiro - RJ, Brasil","-22.8056751","-43.3494438","2022-10-01","15:00:00","1","1","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","1","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Ação policial",""
"52502","Estrada do Mendanha - Campo Grande, Rio de Janeiro - RJ, Brasil","-22.865366","-43.5504557","2022-10-02","15:00:00","0","1","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","1","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Execução",""
"52508","Morro da Pedreira (Complexo da Pedreira )- Costa Barros, Rio de Janeiro - RJ, Brasil","-22.8233351","-43.3580863","2022-10-02","22:38:00","0","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Disputa",""
"52510","Morro da Pedreira (Complexo da Pedreira ) - Costa Barros, Rio de Janeiro - RJ, Brasil","-22.8233351","-43.3580863","2022-10-02","23:38:00","0","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Disparo Acidental",""
"52514","Complexo da Pedreira - Costa Barros, Rio de Janeiro - RJ, Brasil","-22.820328864156753","-43.358901691540524","2022-10-03","02:00:00","0","2","0","5","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","1","2","1","1","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Disputa",""
"52528","R. Sete de Setembro - Centro, Rio de Janeiro - RJ, Brasil","-22.9054333","-43.1784447","2022-10-03","20:20:00","0","0","0","0","0","19","3661","Rio de Janeiro","3304557","carioca","6320446","119746","5.27","Rio de Janeiro","RJ","33","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","","0","","0","0","","0","","","","","","","Não identificado",""
